1,60000004,10000033,30002780,"Muvolailen X - Moon 3 - CBD Corporation Storage"
2,60000007,10000033,30002779,"Ono V - Moon 9 - CBD Corporation Storage"
3,60000010,10000033,30002776,"Annaro I - CBD Corporation Storage"
4,60000013,10000033,30002779,"Ono V - Moon 2 - CBD Corporation Storage"
5,60000016,10000033,30002778,"Tasabeshi VIII - Moon 13 - CBD Corporation Storage"
6,60000019,10000033,30002778,"Tasabeshi VI - Moon 1 - CBD Corporation Storage"
7,60000022,10000032,30002650,"Ney X - Moon 15 - CBD Corporation Storage"
8,60000025,10000032,30002648,"Ardene VIII - Moon 5 - CBD Corporation Storage"
9,60000028,10000032,30002654,"Schoorasana VI - Moon 1 - CBD Corporation Storage"
10,60000031,10000032,30002654,"Schoorasana VI - Moon 6 - CBD Corporation Storage"
11,60000034,10000032,30002648,"Ardene VI - Moon 12 - CBD Corporation Storage"
12,60000037,10000032,30002650,"Ney X - Moon 12 - CBD Corporation Storage"
13,60000040,10000042,30003393,"Eiluvodi VI - Moon 14 - CBD Corporation Storage"
14,60000043,10000042,30003393,"Eiluvodi VIII - Moon 2 - CBD Corporation Storage"
15,60000046,10000042,30003399,"Vorsk IV - Moon 1 - CBD Corporation Storage"
16,60000049,10000042,30003397,"Bongveber IX - Moon 10 - CBD Corporation Storage"
17,60000052,10000042,30003395,"Roleinn X - Moon 13 - CBD Corporation Storage"
18,60000055,10000042,30003394,"Freatlidur IX - Moon 15 - CBD Corporation Storage"
19,60000058,10000038,30003082,"Hatori X - Moon 12 - CBD Corporation Storage"
20,60000061,10000038,30003084,"Malpara II - CBD Corporation Storage"
21,60000064,10000038,30003082,"Hatori X - Moon 10 - CBD Corporation Storage"
22,60000067,10000038,30003081,"Ronne I - Moon 1 - CBD Corporation Storage"
23,60000070,10000038,30003082,"Hatori IX - Moon 8 - CBD Corporation Storage"
24,60000073,10000038,30003083,"Junsen V - Moon 20 - CBD Corporation Storage"
25,60000076,10000028,30002414,"Klingt VII - Moon 2 - CBD Corporation Storage"
